"트랜스포머: 패자의 역습","마이클 베이","드림웍스 SKG","NULL","장편","미국","1,129 ","7,505,700 ","SF","12세이상관람가"
"트랜스포머: 패자의 역습","마이클 베이","파라마운트 픽쳐스","NULL","장편","미국","1,129 ","7,505,700 ","SF","12세이상관람가"
"밀정","김지운","(주)다크서클픽쳐스","NULL","장편","한국","1,444 ","7,487,545 ","액션","15세이상관람가"
"밀정","김지운","워너브러더스 코리아(주)","NULL","장편","한국","1,444 ","7,487,545 ","액션","15세이상관람가"
"밀정","김지운","(주)영화사하얼빈","NULL","장편","한국","1,444 ","7,487,545 ","액션","15세이상관람가"
"최종병기 활","김한민","(주)디씨지플러스","NULL","장편","한국","615 ","7,466,976 ","사극","15세이상관람가"
"최종병기 활","김한민","(주)다세포클럽","NULL","장편","한국","615 ","7,466,976 ","사극","15세이상관람가"
"트랜스포머","마이클 베이","드림웍스픽쳐스","NULL","장편","미국","0 ","7,440,531 ","SF","12세이상관람가"
"트랜스포머","마이클 베이","드림웍스 SKG","NULL","장편","미국","0 ","7,440,531 ","SF","12세이상관람가"
"트랜스포머","마이클 베이","파라마운트 픽쳐스","NULL","장편","미국","0 ","7,440,531 ","SF","12세이상관람가"
"써니","강형철","(주)알로하픽쳐스","NULL","장편","한국","472 ","7,328,820 ","드라마","15세이상관람가"
"써니","강형철","(주)토일렛픽쳐스","NULL","장편","한국","472 ","7,328,820 ","드라마","15세이상관람가"
"화려한 휴가","김지훈","기획시대(주)","NULL","장편","한국","0 ","7,307,993 ","드라마","12세이상관람가"
"베를린","류승완","(주)외유내강","NULL","장편","한국","894 ","7,166,199 ","액션","15세이상관람가"
"베를린","류승완","씨제이이앤엠(주)","NULL","장편","한국","894 ","7,166,199 ","액션","15세이상관람가"
"터널","김성훈","(주)어나더썬데이","NULL","장편","한국","1,105 ","7,118,592 ","드라마","12세이상관람가"
"터널","김성훈","(주)비에이엔터테인먼트","NULL","장편","한국","1,105 ","7,118,592 ","드라마","12세이상관람가"
"어벤져스","조스 웨던","한국소니픽쳐스릴리징브에나비스타영화㈜","NULL","장편","미국","967 ","7,074,867 ","액션","12세이상관람가"
"내부자들","우민호","(유)내부자들 문화전문회사","NULL","장편","한국","1,075 ","7,071,763 ","범죄","청소년관람불가"
"인천상륙작전","이재한","(주)태원엔터테인먼트","NULL","장편","한국","1,049 ","7,049,643 ","전쟁","12세이상관람가"
"럭키","이계벽","(주)용필름","NULL","장편","한국","1,158 ","6,965,706 ","코미디","15세이상관람가"
"은밀하게 위대하게","장철수","(주)엠씨엠씨","NULL","장편","한국","1,341 ","6,953,800 ","액션","15세이상관람가"
"곡성","나홍진","(주)사이드미러","NULL","장편","한국","1,485 ","6,878,264 ","미스터리","15세이상관람가"
"곡성","나홍진","이십세기폭스 인터내셔널 프로덕션","NULL","장편","한국","1,485 ","6,878,264 ","미스터리","15세이상관람가"
"타짜","최동훈","(주)영화사참","NULL","장편","한국","0 ","6,847,777 ","드라마","18세관람가"
"타짜","최동훈","(주)싸이더스","NULL","장편","한국","0 ","6,847,777 ","드라마","18세관람가"
"좋은 놈 나쁜 놈 이상한 놈 ","김지운","(주)다크서클픽쳐스","NULL","장편","한국","825 ","6,686,912 ","서부극(웨스턴)","15세이상관람가"
"좋은 놈 나쁜 놈 이상한 놈 ","김지운","(주)바른손이앤에이","NULL","장편","한국","825 ","6,686,912 ","서부극(웨스턴)","15세이상관람가"
"늑대소년","조성희","(주)영화사비단길","NULL","장편","한국","706 ","6,654,837 ","멜로/로맨스","15세이상관람가"
"미녀는 괴로워","김용화","리얼라이즈픽쳐스(주)","NULL","장편","한국","0 ","6,619,498 ","멜로/로맨스","12세이상관람가"
"미녀는 괴로워","김용화","케이엠컬쳐㈜","NULL","장편","한국","0 ","6,619,498 ","멜로/로맨스","12세이상관람가"
"다크 나이트 라이즈","크리스토퍼 놀란","워너브러더스 코리아(주)","NULL","장편","미국","1,210 ","6,396,528 ","액션","15세이상관람가"
"아저씨","이정범","오퍼스픽쳐스","NULL","장편","한국","478 ","6,282,774 ","액션","청소년관람불가"
"사도","이준익","(주)타이거픽쳐스","NULL","장편","한국","1,210 ","6,246,849 ","사극","12세이상관람가"
"전우치","최동훈","영화사 집","NULL","장편","한국","606 ","6,136,928 ","액션","12세이상관람가"
"미션 임파서블: 로그네이션","크리스토퍼 맥쿼리","롯데쇼핑㈜롯데엔터테인먼트","NULL","장편","미국","1,202 ","6,126,488 ","액션","15세이상관람가"
"킹스맨 : 시크릿 에이전트","매튜 본","이십세기폭스코리아(주)","NULL","장편","미국","706 ","6,125,154 ","액션","청소년관람불가"
"투사부일체","김동원","(주)시네마제니스 ","NULL","장편","한국","0 ","6,105,431 ","코미디","15세관람가"
"연평해전","김학순","(주)로제타시네마","NULL","장편","한국","1,013 ","6,043,458 ","드라마","12세이상관람가"
"반지의 제왕 : 왕의 귀환","피터 잭슨","(주)태원엔터테인먼트","NULL","장편","미국","0 ","5,960,000 ","판타지","12세관람가"
